"logFC"	"logCPM"	"PValue"	"FDR"
"hsa-miR-122-5p"	5.81939212457929	15.9058324174476	6.66190300104715e-92	2.79133735743875e-89
"hsa-miR-375"	6.01884118520699	10.5389599882723	1.01061999173104e-44	2.11724888267653e-42
"hsa-miR-192-5p"	2.46771956103545	11.5697779606361	1.6629536199433e-23	2.32259188918748e-21
"hsa-miR-99a-5p"	1.86610142523333	11.7120390066704	5.87935974099425e-15	6.15862932869148e-13
"hsa-miR-215-5p"	4.85962360510201	7.9712704456008	8.53573011427111e-14	7.15294183575919e-12
"hsa-miR-100-5p"	1.90537809879613	10.3263953418704	4.78242700233075e-13	3.33972818996097e-11
"hsa-miR-200a-3p"	5.84390606202269	6.85874475330896	5.73648933061558e-12	3.43369861361132e-10
"hsa-miR-27b-3p"	1.3178654983331	11.9672694712199	0.00000000500606665312531	0.000000262192740957438
"hsa-miR-451a"	1.76641513979915	13.7639451065047	0.00000000626876412393478	0.000000291845796436519
"hsa-miR-320b"	2.03722875171606	9.23087840616265	0.0000000351043570864388	0.00000147087256192178
"hsa-miR-27a-3p"	1.26608149178211	11.0565750193494	0.0000000726269246701281	0.00000276642558516215
"hsa-miR-10b-5p"	1.05597751837864	13.2306550277327	0.000000163225044538162	0.00000569927447179083
"hsa-miR-4433b-3p"	-1.84974978274951	9.37978441848515	0.00000116798971403436	0.0000376452069369536
"hsa-miR-125b-5p"	2.0745260633347	8.23290847742835	0.00000239734941744493	0.0000717492432792446
"hsa-miR-378a-3p"	1.5426991524604	10.8237910022571	0.00000259574156535566	0.000072507714392268
"hsa-miR-320c"	1.84133084263339	8.07976159045687	0.00000404418639507901	0.000105907131221132
"hsa-miR-26a-5p"	-1.08318226529884	15.7208838655272	0.00000478208717840818	0.000117864383985472
"hsa-miR-126-3p"	-0.938445680711171	14.1190561880323	0.00000535624731714087	0.000124681534771224
"hsa-miR-339-5p"	-2.67797068543788	7.58111546850198	0.00000826621599753261	0.000182291815945588
"hsa-miR-370-3p"	-1.5757003633795	9.23930239043879	0.0000137078951938497	0.000287180404311152
"hsa-miR-203a-3p"	3.29372172930871	6.86724749433512	0.0000169244679769295	0.000337683432492069
"hsa-miR-222-3p"	-0.979008870583764	12.784894273613	0.0000229754461951343	0.000437577816170967
"hsa-miR-486-5p"	0.992054008302816	15.5014562704833	0.0000408539964909068	0.000744253240421302
"hsa-miR-148a-3p"	0.781234607401717	15.4077317158595	0.0000598992558882059	0.00104574117571493
"hsa-let-7e-5p"	-1.13272692206629	11.1288923085926	0.0000699013471727268	0.0011715465786149
"hsa-miR-22-3p"	0.937639361336059	13.0693694850455	0.0000735933440022294	0.00118598504372824
"hsa-miR-423-3p"	-0.879098513520004	13.6479722526409	0.0000812584981827375	0.00126101150883581
"hsa-miR-150-5p"	-1.73402151751561	9.30307850451891	0.0000941684734428879	0.0014091639418775
"hsa-miR-103a-3p"	-0.985545846796914	10.6212321304083	0.000127308375986686	0.00183069745360741
"hsa-miR-328-3p"	-1.19454794832062	9.5276465163948	0.000131076189995757	0.00183069745360741
"hsa-let-7d-5p"	-0.926907644901748	11.135589192343	0.000174732968171222	0.0023089580174421
"hsa-miR-320d"	2.54896632227058	6.47552710073589	0.000176340469112523	0.0023089580174421
"hsa-miR-101-3p"	0.82635475024185	13.2514639008974	0.000189354045667558	0.0024042225798396
"hsa-miR-10a-5p"	0.745241846040075	12.9483677208451	0.000230141770535351	0.002836158878068
"hsa-miR-16-2-3p"	0.888261601378078	10.6223875146365	0.000375854253522556	0.00449951234931289
"hsa-miR-335-3p"	-1.25313735366996	9.48421605324867	0.000391438424398897	0.00455590832842049
"hsa-miR-361-3p"	-1.11404664861323	9.59256833633575	0.000508955115225913	0.0057635727913421
"hsa-miR-320a"	1.18986526347475	13.4242049422666	0.00053722783352252	0.0059236437433141
"hsa-let-7d-3p"	0.754387190281083	12.0382900576477	0.000623668948450328	0.00670044331796635
