"Row.names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"E18_Double_KO_1"	"E18_Double_KO_2"	"E18_Double_KO_3"	"E18_WT_2"	"E18_WT_3"	"E18_WT_4"
"1"	"ENSMUSG00000000001"	0.727930119695089	7.29273410385782	4.23889858829103	0.00307862349985489	0.00910106583110358	-2.34827864030789	6.7866271945973	7.18427163322287	6.80941052773474	7.68258078985628	7.81540200402113	7.47811247371461
"2"	"ENSMUSG00000000028"	3.33764003065822	2.12350161440602	9.08607154708806	0.0000216938545538379	0.000305774722458067	3.38380656909521	0.108772056826501	0.611921810109787	0.64971619789368	3.92235309613313	3.94754432945232	3.50070219602071
"6"	"ENSMUSG00000000058"	-2.34175672613427	4.45903766173965	-6.27997745258188	0.000275606399259772	0.00159104926879725	0.406900597265166	5.98764827626542	5.45207459781935	5.39141971106655	2.6338619608136	3.01800107457501	4.27122034989794
"7"	"ENSMUSG00000000078"	-0.981487906857342	7.94694640704138	-4.45269170282123	0.00232594718117628	0.00733258727795323	-2.01767863723411	8.44347508657132	8.65204260717993	8.23190770989461	7.14258887570767	7.35668539778795	7.85497876510682
"11"	"ENSMUSG00000000094"	4.96534767586394	0.808319820399326	10.6468816038477	0.00000692024543556622	0.000168896224867563	4.33690398318324	-0.532773972261023	-2.11847113013293	-2.37581889421346	3.28999345219537	3.26066768271485	3.32632178409316
"19"	"ENSMUSG00000000159"	-1.53266979571009	4.30634515469397	-6.42956177278981	0.000235912506486139	0.00142355329653882	0.561385405705101	5.07957852649164	5.32371840957588	4.84058053702836	3.77217735573909	3.76678329880095	3.05523280052791
"20"	"ENSMUSG00000000168"	0.658531940560363	5.05849923604914	4.16177729022394	0.00341193857654658	0.00983213064573524	-2.42123665268221	4.62911371011587	4.826174387471	4.72521880450269	5.21956869422646	5.36452723453618	5.58639258544262
"21"	"ENSMUSG00000000171"	1.15213672901866	6.86799251852765	5.79206034496049	0.000466381325167622	0.00226270025094156	-0.310201653980688	6.25538968477674	6.67269175842209	5.94417572478806	7.40388909589629	7.48000445195612	7.45180439532663
"23"	"ENSMUSG00000000194"	-0.686674061365512	6.61301502114825	-4.92662496593409	0.00127971762678868	0.00472486653612283	-1.42339707273276	6.90718154521713	6.90162492048612	7.05970255089534	6.15684120597441	6.41685262753086	6.23588727678566
"25"	"ENSMUSG00000000266"	-1.03422661005985	3.53033175819962	-4.90837453200632	0.00130871253597174	0.00480292419219845	-1.16395645454658	3.86502898960147	4.27228408887554	3.97417311909178	2.80229734411542	3.01800107457501	3.25020593293852
"27"	"ENSMUSG00000000276"	-0.954328238604951	3.69322489009088	-4.73905271625859	0.00161477220634422	0.00558137853369709	-1.42484367474573	4.30112810440814	4.03496574852081	4.16333991689457	3.02979063714474	3.09159710536673	3.53852782821031
"35"	"ENSMUSG00000000346"	-0.825643855417479	7.61952040067793	-6.15322820650816	0.000315077691477174	0.00172868747139218	0.127837409253536	7.98560379611387	8.15606586066878	7.96036883796215	7.20517433858047	7.16725436110276	7.24265520963954
"39"	"ENSMUSG00000000384"	0.763066636063035	4.72073453076365	4.62346083693407	0.00186834325043304	0.00621406422736797	-1.73348687354739	4.49402608708269	4.21488754553083	4.32263773764853	5.11145107737115	5.25781594223128	4.92358879471744
"46"	"ENSMUSG00000000530"	-1.19230425877828	5.8178311860082	-6.17158315406383	0.000308992576680082	0.0017158982564618	0.132126701329796	6.77501882386887	6.07896897684375	6.38905269652263	5.16497781834587	5.21258305185048	5.28638574861761
"47"	"ENSMUSG00000000532"	-1.3382456276201	6.51736967317804	-7.88592746586752	0.0000588550593740381	0.000568167179491062	1.93523094805245	7.12515180001536	7.0365770554751	7.39826217318332	5.97663156366243	5.96198372660777	5.60561172012428
"49"	"ENSMUSG00000000552"	-1.29570720628325	4.96221204387216	-5.6951429366961	0.000519594562596975	0.00244555213550056	-0.385389594013927	6.07307589493396	5.22703492328168	5.5370704420165	4.28003888802269	4.34369951519098	4.31235259978717
